1	2024-05-01 08:01:00	Hello!	1	1
2	2024-05-01 08:01:30	Hi there!	1	2
3	2024-05-01 08:02:00	How are you?	1	1
4	2024-05-01 08:02:30	I am good, thank you!	1	2
5	2024-05-01 08:03:00	What can you do?	1	1
6	2024-05-01 08:03:30	I can chat with you.	1	2
7	2024-05-01 08:04:00	Tell me a joke.	1	1
8	2024-05-01 08:04:30	Why did the scarecrow win an award? Because he was outstanding in his field!	1	2
9	2024-05-01 08:05:00	Haha, that's funny!	1	1
10	2024-05-01 08:05:30	Glad you liked it!	1	2
11	2024-05-01 08:06:00	What is the weather today?	1	1
12	2024-05-01 08:06:30	It is sunny and warm.	1	2
13	2024-05-01 08:07:00	Great, I will go for a walk.	1	1
14	2024-05-01 08:07:30	Enjoy your walk!	1	2
15	2024-05-01 08:08:00	Thank you!	1	1
16	2024-05-01 08:08:30	You are welcome!	1	2
17	2024-05-01 08:09:00	What is your name?	1	1
18	2024-05-01 08:09:30	I am a chatbot.	1	2
19	2024-05-01 08:10:00	Nice to meet you.	1	1
20	2024-05-01 08:10:30	Nice to meet you too!	1	2
21	2024-05-01 08:11:00	What time is it?	1	1
22	2024-05-01 08:11:30	It is 8:11 AM.	1	2
23	2024-05-01 08:12:00	Thanks.	1	1
24	2024-05-01 08:12:30	You are welcome!	1	2
25	2024-05-01 08:13:00	Goodbye!	1	1
26	2024-05-01 09:31:00	Hey!	2	1
27	2024-05-01 09:31:30	Hello!	2	2
28	2024-05-01 09:32:00	What are you up to?	2	1
29	2024-05-01 09:32:30	Just chatting with you.	2	2
30	2024-05-01 09:33:00	Cool!	2	1
31	2024-05-01 09:33:30	Indeed.	2	2
32	2024-05-01 09:34:00	Do you like music?	2	1
33	2024-05-01 09:34:30	Yes, I do!	2	2
34	2024-05-01 09:35:00	What kind of music?	2	1
35	2024-05-01 09:35:30	All kinds.	2	2
36	2024-05-01 09:36:00	Nice!	2	1
37	2024-05-01 09:36:30	Absolutely!	2	2
38	2024-05-01 09:37:00	What is your favorite color?	2	1
39	2024-05-01 09:37:30	Blue.	2	2
40	2024-05-01 09:38:00	Mine too!	2	1
41	2024-05-01 09:38:30	That is great!	2	2
42	2024-05-01 09:39:00	What is your name?	2	1
43	2024-05-01 09:39:30	I am a chatbot.	2	2
44	2024-05-01 09:40:00	Nice to meet you.	2	1
45	2024-05-01 09:40:30	Nice to meet you too!	2	2
46	2024-05-01 09:41:00	What time is it?	2	1
47	2024-05-01 09:41:30	It is 9:41 AM.	2	2
48	2024-05-01 09:42:00	Thanks.	2	1
49	2024-05-01 09:42:30	You are welcome!	2	2
50	2024-05-01 09:43:00	Goodbye!	2	1
51	2024-05-01 11:01:00	Hi!	3	1
52	2024-05-01 11:01:30	Hello!	3	2
